Q1	glacier cave formed	D1-0	partly submerged glacier cave perito moreno glacier	0
Q1	glacier cave formed	D1-1	ice facade approximately 60 high	0
Q1	glacier cave formed	D1-2	ice formation titlis glacier cave	0
Q1	glacier cave formed	D1-3	glacier cave cave formed within ice glacier	1
Q1	glacier cave formed	D1-4	glacier cave often called ice cave term properly used describe bedrock cave contain ice	0
Q2	direction velocity force vector related circular motion	D2-0	physic circular motion movement object along circumference circle rotation along circular path	0
Q2	direction velocity force vector related circular motion	D2-1	uniform constant angular rate rotation constant speed changing rate rotation	0
Q2	direction velocity force vector related circular motion	D2-2	rotation around fixed axis body involves circular motion part	0
Q2	direction velocity force vector related circular motion	D2-3	equation motion describe movement center mass body	0
Q2	direction velocity force vector related circular motion	D2-4	examples circular motion include artificial satellite orbiting earth constant height stone tied rope swung circle car turning curve race track electron moving perpendicular uniform magnetic field gear turning inside mechanism	0
Q2	direction velocity force vector related circular motion	D2-5	since object velocity vector constantly changing direction moving object undergoing acceleration centripetal force direction center rotation	0
Q2	direction velocity force vector related circular motion	D2-6	without acceleration object would move straight line according newton law motion	0
Q5	apollo creed die	D5-0	apollo creed fictional character rocky film initially portrayed undisputed heavyweight champion world	0
Q5	apollo creed die	D5-1	wa played carl weathers	0
Q5	apollo creed die	D5-2	creed multiple nickname including master disaster king sting dancing destroyer prince punch one count monte fisto	0
Q5	apollo creed die	D5-3	urban legend state apollo creed name wordplay apostles creed statement belief used christian church	0
Q5	apollo creed die	D5-4	apollo championship fight scheduled 15 round distance	0
Q5	apollo creed die	D5-5	championship fight convert 15 round 12 round 1987	0
Q5	apollo creed die	D5-6	rocky balboa often wrongly credited popularizing red white blue trunk creed wa first man wear latterly worn rocky balboa 3rd 4th installment finally tommy machine gunn tommy morrison 5th installment although normally wore red white seen rocky ii	0
Q5	apollo creed die	D5-7	balboa signature color black used latest movie	0
Q6	long term federal judge	D6-0	united states title federal judge usually mean judge appointed president united states confirmed united states senate pursuant appointments clause article ii united states constitution	0
Q6	long term federal judge	D6-1	addition supreme court united states whose existence aspect whose jurisdiction beyond constitutional power congress alter act congress established 13 court appeal also called circuit court appellate jurisdiction different region united states 94 united states district court	0
Q6	long term federal judge	D6-2	every judge appointed court may categorized federal judge position include chief justice associate justices supreme court circuit judges court appeal district judge united states district court	0
Q6	long term federal judge	D6-3	judge described thus far referred sometimes article iii judge exercise judicial power vested judicial branch federal government article iii constitution	0
Q6	long term federal judge	D6-4	addition judge court international trade exercise judicial power pursuant article iii	0
Q6	long term federal judge	D6-5	judge serving federal court including magistrate judge bankruptcy judge also sometimes referred federal judge however neither appointed president confirmed senate power derives article instead	0
Q6	long term federal judge	D6-6	see article article iii tribunal	0
Q7	beretta model 21 pistol magazine work	D7-0	beretta 21a bobcat small pistol designed beretta italy	0
Q7	beretta model 21 pistol magazine work	D7-1	production began late 1984 solely beretta facility accokeek maryland	0
Q7	beretta model 21 pistol magazine work	D7-2	development beretta model 20 whose production ended 1985	0
Q9	vul work	D9-0	variable universal life insurance often shortened vul type life insurance build cash value	0
Q9	vul work	D9-1	vul cash value invested wide variety separate account similar mutual fund choice available separate account use entirely contract owner	0
Q9	vul work	D9-2	component name refers ability invest separate account whose value vary invested stock bond market	0
Q9	vul work	D9-3	component name refers flexibility owner ha making premium payment	0
Q9	vul work	D9-4	premium vary nothing given month maximum defined internal revenue code life insurance	0
Q9	vul work	D9-5	flexibility contrast whole life insurance ha fixed premium payment typically missed without lapsing policy although one may exercise automatic premium loan feature surrender dividend pay whole life premium	0
Q9	vul work	D9-6	variable universal life type permanent life insurance death benefit paid insured dy time long sufficient cash value pay cost insurance policy	0
Q9	vul work	D9-7	vuls unlike whole life endowment age age cash value equal death benefit amount whole life typically 100	0
Q9	vul work	D9-8	yet another key advantage vul whole life	0
Q9	vul work	D9-9	typical whole life policy death benefit limited face amount specified policy endowment age face amount paid	0
Q9	vul work	D9-10	thus either death endowment insurance company keep cash value built year	0
Q9	vul work	D9-11	however participating whole life policy offer rider specify dividend paid policy used purchase paid addition policy increase cash value death benefit time	0
Q9	vul work	D9-12	investment made separate account general account insurance company higher occur fixed typical whole life	0
Q9	vul work	D9-13	combination year endowment age continually increasing death benefit high earned separate account vul policy could result higher value owner beneficiary whole life policy amount money paid premium	0
Q10	outdoor wood boiler work	D10-0	outdoor wood boiler variant classic wood stove adapted outdoors still transferring heat interior building	0
Q12	big girl scout cookie box used	D12-0	mound girl scout cooky	0
Q12	big girl scout cookie box used	D12-1	mound contains 74 box cooky	0
Q12	big girl scout cookie box used	D12-2	girl scout cookies cooky sold girl scouts usa gsusa one major fundraiser local scout unit	0
Q12	big girl scout cookie box used	D12-3	members gsusa selling cooky since 1917 raise fund	0
Q12	big girl scout cookie box used	D12-4	girls participate earn prize effort	0
Q12	big girl scout cookie box used	D12-5	also unit incentive unit whole doe well	0
Q12	big girl scout cookie box used	D12-6	2007 sale estimated 200 million box per year	0
Q13	big purdue greek system	D13-0	university hall	0
Q13	big purdue greek system	D13-1	purdue university located west lafayette indiana flagship university purdue university system	0
Q13	big purdue greek system	D13-2	purdue wa founded may 6 1869 university indiana general assembly taking advantage morrill act accepted donation land money lafayette businessman john purdue establish college science technology agriculture name	0
Q13	big purdue greek system	D13-3	first class held september 16 1874 six instructor 39 student	0
Q13	big purdue greek system	D13-4	today purdue member big ten conference well known research institution	0
Q13	big purdue greek system	D13-5	purdue enrolls second largest student body university indiana well fourth largest international student population university united states	0
Q13	big purdue greek system	D13-6	purdue offer undergraduate graduate program 211 major area study well known competitive engineering curriculum	0
Q13	big purdue greek system	D13-7	university ha also highly influential america history aviation established first college credit offered flight training first bachelor degree aviation first university airport purdue university airport	0
Q13	big purdue greek system	D13-8	purdue aviation technology program remains one competitive program world	0
Q13	big purdue greek system	D13-9	century purdue aviation program expanded encompass advanced spaceflight technology giving rise purdue nickname cradle astronauts	0
Q13	big purdue greek system	D13-10	purdue graduate gone become astronaut including gus grissom one original mercury seven astronaut neil armstrong first person walk moon eugene cernan recent person walk moon	0
Q14	big sebaceous cyst get	D14-0	sebaceous cyst term loosely refers either epidermoid cyst also known epidermal cyst pilar cyst also known trichilemmal cyst	0
Q14	big sebaceous cyst get	D14-1	epidermoid cyst originates epidermis pilar cyst originates hair follicle definition neither type cyst strictly sebaceous cyst	0
Q14	big sebaceous cyst get	D14-2	name regarded misnomer fatty white material cyst entity sebum keratin	0
Q14	big sebaceous cyst get	D14-3	furthermore microscope neither entity contains sebaceous gland	0
Q14	big sebaceous cyst get	D14-4	practice however term often used interchangeably	0
Q14	big sebaceous cyst get	D14-5	true sebaceous cyst relatively rare known steatocystoma multiple steatocystoma multiplex	0
Q15	pointe shoe made	D15-0	modern pointe shoe	0
Q15	pointe shoe made	D15-1	edge toe pad inserted foot toe box cushioning seen right foot	0
Q15	pointe shoe made	D15-2	pointe shoe type shoe worn ballet dancer performing pointe work	0
